mdsp_dm,mdsp_inst,mdsp_nsp,mdsp_auddig,mdsp_audtr,mdsp_vidtr,mdsp_viddig,mdsp_so,mdsp_on,mdsp_sem
1333659.8921465827,136283.18062437215,425183.8833862358,3012.8153631004084,108573.92277280857,316872.0443371697,7040.742378571194,5767.251397417086,219672.37757054935,550725.9588216072
1641433.6285896378,169735.84962658794,583326.4704959686,3514.065623096804,133563.24483826407,390175.38190773677,10691.963460256995,12700.130551120086,236469.9850124362,643894.3378445762
1836916.9794787916,304960.14318822074,809199.5483383733,4598.536555124909,189272.0500931248,437719.0116880118,11849.125533799244,41003.92062505397,300034.399745515,1343513.5428179281
1426556.5556611998,296428.7839767118,928656.023621915,5660.195824083622,181570.96638193904,563222.4991902523,15705.630490533913,66361.13210037975,336332.0039239734,2007897.9160868905
1169017.531844832,178571.63255209447,1093009.8030603016,5123.161743500875,181171.16132709372,683809.3942402407,24841.520919089482,37900.87132696101,357731.76916836726,1592938.6805721682
1035633.1239156863,238275.21886480143,1500251.3866660406,5095.434488056129,236479.83888837314,698731.4614378125,31271.71947475248,17145.497914339438,381744.7306265304,870643.6908947147
816878.8903025002,305227.3970446499,1512122.8206910572,6450.541601896105,242377.55376587788,648063.3075713307,28485.710782623522,14570.461732407523,364720.24286345136,532430.1197521765
600941.6655672274,245138.40256789347,1337042.9860350534,8046.276338013316,195093.1701372059,423512.3473500976,18136.132223845158,12372.963707703033,331869.8577821452,372864.2646031521
489124.0910191128,134624.69047970814,773696.8191812639,7001.743591168692,152297.65298299008,172435.86658347427,9005.907905983622,6901.073098506165,215591.98475500813,345240.9759887558
731688.2185171689,66269.6138734342,515120.8048590879,3623.1866789403075,107439.38448504533,76882.35706761107,5030.383538124913,2172.4876061170626,117504.86973926406,349689.0327666388
927712.2681113484,50744.330739095756,498359.2897981142,2080.023525812858,83307.680311677,39205.07326530832,3016.855458721135,1225.6070430774619,76412.7110993421,404097.07446061715
960777.3105226967,44325.94551554844,582013.9894900377,1543.4705942147102,58278.39946361142,51490.91190206837,1654.5696187824649,2632.7124652413877,74311.69731833982,403168.71944784414
710587.4715095027,86711.38112166784,642966.3545852354,1922.214672284017,97738.45739179492,134268.97806223552,2611.5161524549826,7002.005385643537,93741.71806255315,373832.95133506454
368894.38987379416,153541.3836754602,508231.257050092,3031.4438652497947,161370.2492536972,214864.99850688726,4487.239993498211,13572.725276057148,127854.98000897886,435526.4066456482
418185.0110836666,140552.56183493952,361595.0411846232,3095.0226435527893,160892.0510924283,207839.31733689524,5404.403502888983,16978.29839739555,146342.01052869324,434860.93639389705
616573.3332809516,85707.74062708917,356592.57255778555,2748.6044071768947,115646.31307431261,129653.66309877888,8153.972286097464,21658.667474809496,112828.5249601238,395877.4496713499
759959.6743154287,64424.379841598464,335898.7334155596,2332.0419237511373,81749.81224998084,121546.28831287366,15886.401345967977,34911.40025387107,86959.08269832112,341067.702948944
885304.7699240409,65234.170309804525,446095.4568848785,2199.483585042681,87534.57114059561,125448.56343981832,21823.871341023096,46401.87283468124,114722.60365871876,324979.3292612951
1087412.8008861404,73962.59171390158,516815.617271259,2082.9402742937723,131500.7116688127,102255.61866700479,19965.171449607467,42853.312549396265,166767.5293657487,406054.1094284644
